住所,区,地域,ジャンル,店舗名,取扱商品,カテゴリ,カテゴリ(麺類),カテゴリ(薬局),カテゴリ(衣服),カテゴリ(洋菓子)
新潟県新潟市北区白新町,北区,白新町,理容、美容院,理容こばやし,理容室,暮らす,0,0,0,0
新潟県新潟市北区川西,北区,川西,理容、美容院,理容さいとう,理容室,暮らす,0,0,0,0
新潟県新潟市北区太田,北区,太田,理容、美容院,理容サイトウ,理容室,暮らす,0,0,0,0
新潟県新潟市北区島見町,北区,島見町,理容、美容院,理容さちこ,理容室,暮らす,0,0,0,0
新潟県新潟市北区内沼,北区,内沼,理容、美容院,理容サトウ,理容室,暮らす,0,0,0,0
新潟県新潟市北区上黒山,北区,上黒山,理容、美容院,理容シブヤ,理容室,暮らす,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,理容、美容院,理容セキカワ,理容室,暮らす,0,0,0,0
新潟県新潟市北区木崎,北区,木崎,理容、美容院,理容タカハシ,理容室,暮らす,0,0,0,0
新潟県新潟市北区笹山,北区,笹山,理容、美容院,理容田中,理容室,暮らす,0,0,0,0
新潟県新潟市北区東栄町,北区,東栄町,理容、美容院,理容のざき,理容室,暮らす,0,0,0,0
新潟県新潟市北区平林,北区,平林,理容、美容院,理容よこやま,理容室,暮らす,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,理容、美容院,和空間,理容室,暮らす,0,0,0,0
新潟県新潟市北区早通北,北区,早通北,理容、美容院,ワシズ理容所,理容室,暮らす,0,0,0,0
新潟県新潟市北区葛塚(下町),北区,葛塚(下町),住宅、キッチン、設備,熊田タイ畳店,畳製造販売,暮らす,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,住宅、キッチン、設備,くまだ畳店,たたみ全般,暮らす,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,住宅、キッチン、設備,コバヤシ敷物,畳、壁紙、襖紙,暮らす,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,住宅、キッチン、設備,坂井金物店,一般家庭金物販売,暮らす,0,0,0,0
新潟県新潟市北区神谷内,北区,神谷内,住宅、キッチン、設備,新プロ産業,住宅・キッチン機器,暮らす,0,0,0,0
新潟県新潟市北区西名目所,北区,西名目所,住宅、キッチン、設備,中川畳店,新畳・表替え・畳工事全般,暮らす,0,0,0,0
